cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
14.876.090/0001-93,GAIA AGRO SECURITIZADORA S.A.,Aquisição. Securitização. Emissão. Negociação E Prestação de Serviços Relacionados à Créditos Imobiliários E Créditos de Agronegócios Passíveis de Securitização.,386,105,20,663,255,96,-488,0,215,168,750,397,69,765,656,200,-345,0,270,228,88,-239,0,2813,273,464,64,15,728,507,875306,609908,150866,468646,118168,0,-95687,0,9783,4313,0,0,0,0,0
07.587.384/0001-30,GAIA SECURITIZADORA S.A.,Aquisição. Securitização. Emissão. Negociação E Prestação de Serviços Relacionados à Créditos Imobiliários E Direitos Creditórios Do Agronegócio Passíveis de Securitização.,1731,1310,439,3442,1380,724,413,163,2779,890,156,-72,0,2446,640,427,394,146,3065,329,275,-270,0,17959,81,1457,324,0,8491,756,2063,1229,0,5365,590,1958,1396,0,3119,548,455,183,0,723,541
02.796.775/0001-40,GAMA PARTICIPACOES S.A.,Participação em Outras Sociedades.,0,-78,0,1368,1253,0,-140,5,1439,1331,0,169,46,3439,3298,0,841,273,3408,3204,0,932,302,9132,2771,0,717,220,8630,2291,0,503,147,8136,1912,0,1418,176,8328,1640,0,929,207,8836,7919
08.764.621/0001-53,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Administração de Shopping Centers,139215,-27130,23147,1699421,4371,215625,-290960,89645,2972760,38683,252290,173062,22102,3560307,1224686,259227,215875,27132,3300170,973225,262831,-510180,38657,3235583,780300,251095,-215844,39862,3645948,1276457,219567,-89922,31249,2236197,125272,181333,-68147,22157,1879731,242873,137341,-22761,15254,1266127,333113
33.611.500/0001-19,GERDAU S.A.,Participação E Administração,39644010,1674720,240400,54002970,27173127,46159478,2157431,629209,51281029,25938571,36917619,-43276,313758,50301761,23893941,37651667,-2581615,110511,54635141,24274653,43581241,-6094408,158450,70094709,31970383,42546339,1337984,571926,63042330,33254534,39863037,1452646,318422,58215040,32020757,37981668,1559462,316271,53093158,28797917,0,0,0,0,0
06.164.253/0001-87,GOL LINHAS AEREAS INTELIGENTES S.A.,Gestão de Participação Societária,13864704,388945,178621,15298446,-7105417,11411354,-482596,52139,10378266,-4505351,10329034,70604,239846,10004748,-3088521,9867335,1361422,257944,8404355,-3356751,9778007,-3447100,196140,10368397,-4322440,10066214,-952680,120784,9976647,-332974,8956212,-653227,96807,10638448,1218500,8103559,-1584822,6553,9027098,732828,7539308,-1000418,5791,10655141,2205911
07.857.850/0001-50,GP INVESTMENTS. LTD.,Investimentos Alternativos. Principalmente em Private Equity,851396,551131,0,3325940,2726515,-417879,-602872,0,3086920,2351856,474753,272427,0,3161897,2442075,574321,200769,0,2986065,2147493,-472086,-691142,0,3049375,2078779,380540,33125,0,3068576,2125983,-131113,-359692,0,3204833,2336202,80386,-62681,0,3578547,2698687,-489043,-598687,0,3122543,2312550
02.193.750/0001-52,GPC PARTICIPACOES S.A.,,797719,17020,20752,814229,200719,735142,20837,9941,837207,187645,483875,74399,6828,798646,182770,437885,58008,0,726912,13188,397670,-57031,0,710682,-33283,367488,-26994,0,689143,22836,349282,59171,0,695956,52757,466114,-65775,0,640645,164336,469129,-90402,0,695737,209394
92.012.467/0001-70,GRAZZIOTIN S.A.,Comércio Varejista de Vesturio E Bazar.,480470342,159316556,29288688,864568325,586027302,463172949,76089294,22642719,706364238,497946367,428278248,80726091,19325653,681187102,478290170,390440014,82695065,18683333,643833163,459292034,374109930,62825826,16207651,577297494,431803336,406136435,82705595,23242355,568085143,400201505,358394616,71341302,20908097,517831031,356151849,318642616,53994720,16118307,457101936,318616872,291223174,50372788,14795691,425974931,291704018
89.850.341/0001-60,GRENDENE S.A.,Fabricação de Calçados em Geral,2071034,531600,31034,4064447,3682436,2333452,615841,30583,3860756,3465042,2251972,704092,44106,3576008,3217609,2045115,668112,44713,3253820,2922070,2202796,583079,74655,3045642,2616760,2233298,524937,40874,2682013,2327934,2187264,502810,56556,2369342,2067960,1882326,495290,67778,2291452,1953562,1482636,340296,44863,2045624,1800952
10.285.590/0001-08,GRUPO DE MODA SOMA S.A.,(i) A Confecção de Peças Do Vestuário. Exceto Roupas íntimas E As Confeccionadas Sob Medida; E (ii) O Comércio Varejista de Artigos de Vestuário E Acessórios de Qualquer Material.,1304114,140322,6418,1255854,343056,1081996,72529,14517,993986,378879,1020677,100862,17830,814223,330057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.990.777/0001-09,GRUPO MATEUS S.A.,Holdings de Instituições Não Financeiras. Participação No Capital de Outras Sociedades. Na Condição de Acionista. Sócia Ou Quotista. em Caráter Permanente Ou Temporário. Como Controladora Ou Coligada.,8035545,349870,3229,4121336,1949287,6882185,298615,1643,3390638,1600420,5705115,158615,0,2663123,1208918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.217.485/0001-11,GRUPO SBF SA,A Companhia Tem Por Objeto Social (a) Administração de Bens Próprios; E. (b) A Participação. como Sócia Ou Acionista. em Outras Empresas.,2545422,407314,42905,3933727,1168664,2275057,88217,3961,1798300,191464,1968572,-118435,1221,1625360,40008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08.402.943/0001-52,GUARARAPES CONFECCOES S.A.,Confecções de Roupas E Tecidos em Geral.,7808044,712364,258081,12602523,5224591,7192596,1789048,535031,10472148,4929147,6444659,775776,191426,7927898,3971163,5921650,275495,147637,7720762,3616350,5507306,379291,247594,6969805,3390108,4728129,602829,190561,5876303,3175773,4069090,536345,134899,4758289,2829123,3545995,484055,128832,4240672,2526929,3046024,466376,124766,3693433,2238348
30.540.991/0001-66,HAGA S.A. INDUSTRIA E COMERCIO,Industria Metalúrgica - Fab. de Fechaduras P/construção Civil,23551592,2895665,391420,56244926,-75506510,22911397,6521144,1724455,58734878,-78010755,24410448,-953005,452671,59214809,-82977953,26475364,3720871,450403,57554674,-81572277,29639628,3666828,520368,51759369,-84842745,35906523,5548813,568027,47457148,-87989205,30557202,5901025,2920673,41558683,-89318320,29752636,12118489,147984,39246524,-92298672,35138573,8055916,1745338,35584137,-101567947
