cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
81.243.735/0001-48,POSITIVO TECNOLOGIA S.A.,Fabricação de Hardware.,1915308,28280,7266,1945403,534892,1890654,10233,7373,1789529,509908,1913608,-43987,48,1733859,506375,1746015,9666,2,1822893,559245,1843191,-79742,139,1919040,576395,2331559,23305,34,1759796,660756,2566533,15644,0,1879734,645728,2102501,29268,0,1764162,640032,2048053,-71804,0,1528930,619172
15.073.274/0001-88,PPLA PARTICIPATIONS LTD.,Holding de Companhias Que Atuam Como Veículos de Investimento.,0,-3466,0,26,0,0,-162956,0,3799,0,0,-532058,0,159698,0,0,108344,0,722634,0,180872,-2099468,0,723829,0,338191,-404761,0,55293635,40939677,324393,-126923,0,58430140,42722378,1232884,910921,0,27816188,21680089,0,0,0,0,0
08.574.411/0001-00,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,A Companhia Tem Por Objeto Social: (i) A Fabricação de Fornos E Equipamentos Voltados Para Os Mercados de Panificação E Gastronómico; E (ii) A Participação Societária em Outras Companhias.,137640,9697,1872,125660,47084,111567,6861,1638,108761,41182,95645,10516,2292,93042,45599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.593.815/0001-97,PRINER SERVIÇOS INDUSTRIAIS S.A.,Prestação de Serviços Industriais. Principalmente Nos Segmentos Petroquímico. óleo E Gás. Siderurgia. Papel E Celulose E Químico.,348612,-5825,6207,239541,74609,327237,5965,4613,207986,66129,236502,-13662,947,182406,54774,204112,8401,2812,121565,55790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.291.077/0001-93,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,Geração de Energia Elétrica,5456,-2001,0,17189,-901,5093,0,0,17463,1100,5116,0,0,18470,1100,4772,0,0,19346,1100,4311,15,2,19880,1100,3590,0,0,20260,1087,4013,265,47,21284,1087,3712,384,67,21632,869,3536,549,118,22039,552
45.453.214/0001-51,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,Profarma Atua Na Distribuição de Produtos Farmacêuticos. Higiene Pessoal E Cosméticos. Nos Mais Populosos Estados Brasileiros.,4801292,21557,530,3183388,1004632,4271127,-30132,609,2890224,1021211,4100711,-153614,971,2619492,745932,4084669,-52418,2476,2712233,758956,3465143,-19823,817,2282159,667946,3449124,-60634,3167,1828215,688851,3470310,19960,2716,1778666,571564,3233057,55774,7040,1430602,570929,3317048,31590,5575,1233124,541471
02.992.449/0001-09,PROMPT PARTICIPACOES S.A.,Participação em Outras Sociedades.,0,-140145,0,209468,209430,0,-127605,0,9796,9575,0,-111630,0,27202,27180,0,-105923,0,38977,38810,0,-99547,0,32917,32733,0,-93504,0,21103,21066,0,-80328,0,16313,14570,0,-77810,0,96390,94898,0,-83610,0,12736,12708
11.992.680/0001-93,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Prestação de Serviços E Gestão de Benefícios de Assistência à Saúde.,2003010,567824,227014,3380063,1426837,1932124,628109,197781,3549313,2354493,2075289,583154,175856,3531358,2366895,1964404,460434,145400,3589787,2067776,1730159,400783,126124,3434432,1993883,1493014,278336,135928,3787756,2356834,1199534,3616,70591,3242027,2013928,920674,64711,24385,3046531,1992203,680464,-536,20021,2855306,1938120
35.791.391/0001-94,QUALITY SOFTWARE S.A.,Serviços Nos Setores de Informática. Auditoria de Sistemas Softwares; Treinamentos.desenvolvimento de Sistemas de Suporte Técnico; Hardware E Software em Geral; Design Gráfico E Editoração Eletronica.,128656222,5337275,3136393,108262614,43197480,119473557,6378544,3172588,99272904,37905878,90493494,-2567843,2063030,90998612,34699924,68186234,7822977,4057663,56272846,25902964,63876143,11340809,3890392,42504097,11856634,38565012,1702938,280187,16770900,10621150,31772500,385186,257956,14238995,3113969,25007274,584120,325917,15180414,3103634,22750543,883296,440022,15438513,2919241
61.585.865/0001-51,RAIA DROGASIL S.A.,Comércio de Produtos Farmacêuticos. Perfumarias E Afins,17565600,784168,109113,12248255,4076419,14801445,638856,120410,7352005,3534767,13212505,686544,138269,6464249,3250372,11256565,595216,116662,5659303,2935955,8897849,435902,60608,4699201,2656798,0,0,0,0,0,6232919,139387,8347,3614093,2326983,5380728,158074,40811,3340186,2264659,2728985,91205,25270,3168308,2201174
