nome_cont,nro_proc,ano_fisc,tipo_rec,nro_acordao,dt_secao,relator,decisao,ementa
PEIRO - CORRETORA DE SEGUROS S/S LTDA.,13851.901752/2011-81,2011,RECURSO VOLUNTARIO,1002-001.787,05/11/2020,Não informado,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Ailton Neves da Silva - Presidente
(documento assinado digitalmente)
Marcelo Jose Luz de Macedo - Relator

Participaram do presente julgamento os Conselheiros: Ailton Neves da Silva, Marcelo Jose Luz de Macedo, Rafael Zedral e Thiago Dayan da Luz Barros","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2008
COMPENSAÇÃO. VIA ADEQUADA. TRANSMISSÃO DE PER/DCOMP. EXIGÊNCIA LEGAL.
Pelo menos desde 2002, com a edição da Lei nº 10.637/2002, os procedimentos para a compensação tributária perante a Receita Federal devem seguir as regras introduzidas no artigo 74 da Lei nº 9.430/1996, especialmente, a regra prevista em seu § 1º, segundo o qual, a compensação deverá ser efetuada mediante a entrega, pelo sujeito passivo, de declaração na qual constarão informações relativas aos créditos utilizados e aos respectivos débitos compensados."
PLASTICOS AZENHA LTDA,11080.913211/2010-68,2010,RECURSO VOLUNTARIO,1002-001.837,02/12/2020,Rafael Zedral,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em dar provimento ao Recurso Voluntário.
(Assinado Digitalmente)
Ailton Neves da Silva- Presidente.

(Assinado Digitalmente)
Rafael Zedral- Relator

Participaram da sessão de julgamento os conselheiros: Aílton Neves da Silva (Presidente), Rafael Zedral, Marcelo José Luz de Macedo e Thiago Dayan da Luz Barros.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2006
SALDO NEGATIVO. ESTIMATIVAS DECLARADAS EM COMPENSAÇÕES NÃO HOMOLOGADAS OU HOMOLOGADAS PARCIALMENTE. COBRANÇA. DUPLICIDADE.
Na hipótese de declaração de compensação não homologada ou homologada parcialmente, os débitos serão cobrados com base em PER/DCOMP, razão pela qual descabe a glosa das estimativas quitadas via compensação em processo no qual se discute a apuração do saldo negativo"
PLASTICOS AZENHA LTDA,11080.905184/2010-50,2010,RECURSO VOLUNTARIO,1002-001.836,02/12/2012,Rafael Zedral,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(Assinado Digitalmente)
Ailton Neves da Silva- Presidente.

(Assinado Digitalmente)
Rafael Zedral- Relator

Participaram da sessão de julgamento os conselheiros: Aílton Neves da Silva (Presidente), Rafael Zedral, Marcelo José Luz de Macedo e Thiago Dayan da Luz Barros.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2005
DECLARAÇÃO DE COMPENSAÇÃO. IRPJ. SALDO NEGATIVO. DIREITO CREDITÓRIO NÃO RECONHECIDO. COMPROVAÇÃO INSUFICIENTE.
Não apresentação de prova inequívoca hábil e idônea tendente a comprovar a existência e validade de indébito tributário derivado de saldo negativo de IRPJ, acarreta a negativa de reconhecimento do direito creditório e, por consequência, a não-homologação da compensação declarada em face da impossibilidade da autoridade administrativa aferir a liquidez e certeza do pretenso crédito."
RADIO GIRUA LTDA,11070.908420/2009-75,2009,RECURSO VOLUNTARIO,1002-001.790,05/11/2020,Não informado,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Ailton Neves da Silva - Presidente
(documento assinado digitalmente)
Marcelo Jose Luz de Macedo - Relator

Participaram do presente julgamento os Conselheiros: Ailton Neves da Silva, Marcelo Jose Luz de Macedo, Rafael Zedral e Thiago Dayan da Luz Barros","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2002
SALDO NEGATIVO. ESTIMATIVAS DECLARADAS EM COMPENSAÇÕES COM BASE EM CRÉDITO TRIBUTÁRIO INEXISTENTE ANTES DA PUBLICAÇÃO DA MP Nº 135/2003, POSTERIORMENTE CONVERTIDA NA LEI Nº 10.833/2003.
Antes de publicada a Medida Provisória nº 135/2003, convertida na Lei nº 10.833/2003, não havia que se falar em constituição de crédito tributário via procedimento de compensação, o qual não consistia até então em confissão de dívida. Por tal razão, incabível a utilização de estimativas compensadas com a utilização de crédito tributário inexistente na composição do saldo negativo."
EBF PRESTADORA DE SERVICOS LTDA,13971.913902/2009-19,2009,RECURSO VOLUNTARIO,1002-001.783,04/11/2020,Não informado,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Ailton Neves da Silva - Presidente
(documento assinado digitalmente)
Marcelo Jose Luz de Macedo - Relator

Participaram do presente julgamento os Conselheiros: Ailton Neves da Silva, Marcelo Jose Luz de Macedo, Rafael Zedral e Thiago Dayan da Luz Barros","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2007
COMPENSAÇÃO TRIBUTÁRIA.
Apenas os créditos líquidos e certos são passíveis de compensação tributária, conforme artigo 170 do Código Tributário Nacional.
DIREITO CREDITÓRIO. ÔNUS DA PROVA.
Incumbe ao sujeito passivo a demonstração, acompanhada das provas hábeis, da composição e a existência do crédito que alega possuir junto Fazenda Nacional para que sejam aferidas sua liquidez e certeza pela autoridade administrativa.
OBRIGAÇÕES ACESSÓRIAS. LIVRO DIÁRIO. FORMALIDADES LEGAIS. INOBSERVÂNCIA.
Conforme prevê a legislação, o Livro Diário deverá conter, obrigatoriamente: termo de abertura; termo de encerramento; numeração sequencial, tanto dos livros como das folhas; encadernação; autenticação em todas as folhas, pela Junta Comercial, quando se tratar de sociedade mercantil ou, pelo Cartório de Registro Civil de Pessoas Jurídicas, quando se tratar de sociedade civil."
PENNACCHI LOGISTICA INTEGRADA LTDA,10930.902008/2010-45,2010,RECURSO VOLUNTARIO,1002-001.788,05/11/2020,Não informado,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Ailton Neves da Silva - Presidente
(documento assinado digitalmente)
Marcelo Jose Luz de Macedo - Relator

Participaram do presente julgamento os Conselheiros: Ailton Neves da Silva, Marcelo Jose Luz de Macedo, Rafael Zedral e Thiago Dayan da Luz Barros","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2003
DIREITO CREDITÓRIO. ÔNUS DA PROVA.
Incumbe ao sujeito passivo a demonstração, acompanhada das provas hábeis, da composição e a existência do crédito ,que alega possuir junto Fazenda Nacional para que sejam aferidas sua liquidez e certeza pela autoridade administrativa.
COMPENSAÇÃO TRIBUTÁRIA.
Apenas os créditos líquidos e certos são passíveis de compensação tributária, conforme artigo 170 do Código Tributário Nacional."
ATRIA PARTICIPACOES LTDA.,10882.000580/2009-57,2009,RECURSO VOLUNTARIO,1002-001.799,01/12/2020,Ailton Neves da Silva,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao recurso.
(documento assinado digitalmente)
Aílton Neves da Silva - Presidente e Relator
Participaram do presente julgamento os Conselheiros: Aílton Neves da Silva (Presidente), Rafael Zedral, Marcelo José Luz de Macedo e Thiago Dayan da Luz Barros.","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2003
NÃO HOMOLOGAÇÃO DE PER/DCOMP. DEDUTIBILIDADE DE IRRF NA APURAÇÃO DO IRPJ. FALTA DE COMPROVAÇÃO DA TRIBUTAÇÃO DA RECEITA SUBMETIDA À RETENÇÃO. CABIMENTO.
A dedutibilidade do IRRF sobre aplicações financeiras e rendimentos de capital na apuração do IRPJ condiciona-se à comprovação da tributação da receita financeira submetida à retenção.
Aplicação da Súmula CARF n. 80."
VECTAN EMPREENDIMENTOS E PARTICIPACOES LTDA.,10880.952592/2010-12,2010,RECURSO VOLUNTARIO,1002-001.794,05/11/2020,Não informado,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Ailton Neves da Silva - Presidente
(documento assinado digitalmente)
Marcelo Jose Luz de Macedo - Relator

Participaram do presente julgamento os Conselheiros: Ailton Neves da Silva, Marcelo Jose Luz de Macedo, Rafael Zedral e Thiago Dayan da Luz Barros","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2011
COMPENSAÇÃO TRIBUTÁRIA. SALDO NEGATIVO. NECESSIDADE DE COMPROVAÇÃO.
Incumbe ao sujeito passivo a demonstração, acompanhada das provas hábeis, da composição e a existência do crédito, que alega possuir junto Fazenda Nacional para que sejam aferidas sua liquidez e certeza pela autoridade administrativa. No caso, trata-se de saldo negativo composto por retenções na fonte confirmadas em DIRF e comprovantes de retenção."
GRANCINCO EMPREENDIMENTOS E PARTICIPACOES LTDA,10880.951636/2010-97,2010,RECURSO VOLUNTARIO,1002-001.786,04/11/2020,Não informado,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por maioria de votos, em rejeitar a conversão do julgamento do recurso em diligência, proposta pelo conselheiro Marcelo José Luz de Macedo (relator) e, no mérito, por unanimidade de votos, em negar provimento ao Recurso Voluntário. Designado para redigir o voto vencedor o conselheiro Rafael Zedral.
(documento assinado digitalmente)
Ailton Neves da Silva - Presidente
(documento assinado digitalmente)
Marcelo Jose Luz de Macedo - Relator
(documento assinado digitalmente)
Rafael Zedral - Redator designado
Participaram do presente julgamento os Conselheiros: Ailton Neves da Silva, Marcelo Jose Luz de Macedo, Rafael Zedral e Thiago Dayan da Luz Barros","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Período de apuração: 01/10/2003 a 31/12/2003
COMPENSAÇÃO. SALDO NEGATIVO. RETENÇÕES NA FONTE. IMPOSSIBILIDADE DE RECONHECIMENTO POR FALTA DE PROVA. EXTRATOS DE APLICAÇÃO FINANCEIRA. INSUFICIÊNCIA
Ainda que seja possível a comprovação da efetiva retenção de tributo por outros meios de prova que não os comprovantes entregues pela fonte pagadora, no presente caso concreto o contribuinte tratou de apresentar tão somente os extratos de aplicações financeiras, os quais, contudo, são insuficientes por si só como meio de prova."
PEOPLE CONSULTING SERVICOS E INFORMATICA LTDA.,10880.913936/2010-78,2010,RECURSO VOLUNTARIO,1002-001.789,05/11/2020,Não informado,"Vistos, relatados e discutidos os presentes autos.
Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário.
(documento assinado digitalmente)
Ailton Neves da Silva - Presidente
(documento assinado digitalmente)
Marcelo Jose Luz de Macedo - Relator

Participaram do presente julgamento os Conselheiros: Ailton Neves da Silva, Marcelo Jose Luz de Macedo, Rafael Zedral e Thiago Dayan da Luz Barros","ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ)
Ano-calendário: 2003
PROCESSO ADMINISTRATIVO FISCAL. PRESCRIÇÃO INTERCORRENTE. INAPLICABILIDADE.
Não se aplica a prescrição intercorrente no processo administrativo fiscal. A contagem do prazo prescricional somente se inicia após a constituição definitiva do crédito tributário, conforme preconiza a Súmula CARF nº 11, cujo os efeitos são vinculantes.
COMPENSAÇÃO. DIREITO CREDITÓRIO. ÔNUS DA PROVA.
Apenas os créditos líquidos e certos são passíveis de compensação tributária, conforme artigo 170 do Código Tributário Nacional. Incumbe ao sujeito passivo a demonstração, acompanhada das provas hábeis, da composição e a existência do crédito ,que alega possuir junto Fazenda Nacional para que sejam aferidas sua liquidez e certeza pela autoridade administrativa"
